Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Article Citation Count,Patent Citation Count,Reference Count,Document Identifier
Weighted Schatten  $p$ -Norm Minimization for Image Denoising and Background Subtraction,Y. Xie; S. Gu; Y. Liu; W. Zuo; W. Zhang; L. Zhang,"Department of Computing, The Hong Kong Polytechnic University, Hong Kong; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Research Center of Precision Sensing and Control, Institute of Automation, Chinese Academy of Sciences, Beijing, China; Department of Computing, The Hong Kong Polytechnic University, Hong Kong",2016,"Low rank matrix approximation (LRMA), which aims to recover the underlying low rank matrix from its degraded observation, has a wide range of applications in computer vision. The latest LRMA methods resort to using the nuclear norm minimization (NNM) as a convex relaxation of the nonconvex rank minimization. However, NNM tends to over-shrink the rank components and treats the different rank components equally, limiting its flexibility in practical applications. We propose a more flexible model, namely, the weighted Schatten p-norm minimization (WSNM), to generalize the NNM to the Schatten p-norm minimization with weights assigned to different singular values. The proposed WSNM not only gives better approximation to the original low-rank assumption, but also considers the importance of different rank components. We analyze the solution of WSNM and prove that, under certain weights permutation, WSNM can be equivalently transformed into independent non-convex lp-norm subproblems, whose global optimum can be efficiently solved by generalized iterated shrinkage algorithm. We apply WSNM to typical low-level vision problems, e.g., image denoising and background subtraction. Extensive experimental results show, both qualitatively and quantitatively, that the proposed WSNM can more effectively remove noise, and model the complex and dynamic scenes compared with state-of-the-art methods.",10.1109/TIP.2016.2599290,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7539605,392,,44,IEEE Journals
SAR Image Despeckling Using a Convolutional Neural Network,P. Wang; H. Zhang; V. M. Patel,"Department of Electrical and Computer Engineering, Rutgers University, Piscataway, NJ, USA; Department of Electrical and Computer Engineering, Rutgers University, Piscataway, NJ, USA; Department of Electrical and Computer Engineering, Rutgers University, Piscataway, NJ, USA",2017,"Synthetic aperture radar (SAR) images are often contaminated by a multiplicative noise known as speckle. Speckle makes the processing and interpretation of SAR images difficult. We propose a deep-learning-based approach called, image despeckling convolutional neural network (ID-CNN), for automatically removing speckle from the input noisy images. In particular, ID-CNN uses a set of convolutional layers along with batch normalization and rectified linear unit activation function and a componentwise division residual layer to estimate speckle and it is trained in an end-to-end fashion using a combination of Euclidean loss and total variation loss. Extensive experiments on synthetic and real SAR images show that the proposed method achieves significant improvements over the state-of-the-art speckle reduction methods.",10.1109/LSP.2017.2758203,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8053792,380,,34,IEEE Journals
Deep Adaptive Image Clustering,J. Chang; L. Wang; G. Meng; S. Xiang; C. Pan,"National Laboratory of Pattern Recognition, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Chinese Academy of Sciences; National Laboratory of Pattern Recognition, Chinese Academy of Sciences",2017,"Image clustering is a crucial but challenging task in machine learning and computer vision. Existing methods often ignore the combination between feature learning and clustering. To tackle this problem, we propose Deep Adaptive Clustering (DAC) that recasts the clustering problem into a binary pairwise-classification framework to judge whether pairs of images belong to the same clusters. In DAC, the similarities are calculated as the cosine distance between label features of images which are generated by a deep convolutional network (ConvNet). By introducing a constraint into DAC, the learned label features tend to be one-hot vectors that can be utilized for clustering images. The main challenge is that the ground-truth similarities are unknown in image clustering. We handle this issue by presenting an alternating iterative Adaptive Learning algorithm where each iteration alternately selects labeled samples and trains the ConvNet. Conclusively, images are automatically clustered based on the label features. Experimental results show that DAC achieves state-of-the-art performance on five popular datasets, e.g., yielding 97.75% clustering accuracy on MNIST, 52.18% on CIFAR-10 and 46.99% on STL-10.",10.1109/ICCV.2017.626,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237888,373,,41,IEEE Conferences
Unprocessing Images for Learned Raw Denoising,T. Brooks; B. Mildenhall; T. Xue; J. Chen; D. Sharlet; J. T. Barron,Google Research; UC Berkeley; Google Research; Google Research; Google Research; Google Research,2019,"Machine learning techniques work best when the data used for training resembles the data used for evaluation. This holds true for learned single-image denoising algorithms, which are applied to real raw camera sensor readings but, due to practical constraints, are often trained on synthetic image data. Though it is understood that generalizing from synthetic to real images requires careful consideration of the noise properties of camera sensors, the other aspects of an image processing pipeline (such as gain, color correction, and tone mapping) are often overlooked, despite their significant effect on how raw measurements are transformed into finished images. To address this, we present a technique to “unprocess” images by inverting each step of an image processing pipeline, thereby allowing us to synthesize realistic raw sensor measurements from commonly available Internet photos. We additionally model the relevant components of an image processing pipeline when evaluating our loss function, which allows training to be aware of all relevant photometric processing that will occur after denoising. By unprocessing and processing training data and model outputs in this way, we are able to train a simple convolutional neural network that has 14%-38% lower error rates and is 9×-18× faster than the previous state of the art on the Darmstadt Noise Dataset, and generalizes to sensors outside of that dataset as well.",10.1109/CVPR.2019.01129,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8954316,373,1,43,IEEE Conferences
Stacked Convolutional Denoising Auto-Encoders for Feature Representation,B. Du; W. Xiong; J. Wu; L. Zhang; L. Zhang; D. Tao,"State Key Laboratory of Software Engineering, Key Laboratory of Aerospace Information Security and Trusted Computing Ministry of Education, School of Computer, Collaborative Innovation Center of Geospatial Information Technology, Wuhan University, Wuhan, China; State Key Laboratory of Software Engineering, Key Laboratory of Aerospace Information Security and Trusted Computing Ministry of Education, School of Computer, Collaborative Innovation Center of Geospatial Information Technology, Wuhan University, Wuhan, China; Centre for Quantum Computation and Intelligent Systems and the Department of Engineering and Information Technology, University of Technology Sydney, Sydney, Australia; State Key Laboratory of Software Engineering, Key Laboratory of Aerospace Information Security and Trusted Computing Ministry of Education, School of Computer, Collaborative Innovation Center of Geospatial Information Technology, Wuhan University, Wuhan, China; Collaborative Innovation Center of Geospatial Technology, State Key Laboratory of Information Engineering in Surveying, Mapping and Remote Sensing, Wuhan University, Wuhan, China; Centre for Quantum Computation and Intelligent Systems and the Department of Engineering and Information Technology, University of Technology Sydney, Sydney, Australia",2017,"Deep networks have achieved excellent performance in learning representation from visual data. However, the supervised deep models like convolutional neural network require large quantities of labeled data, which are very expensive to obtain. To solve this problem, this paper proposes an unsupervised deep network, called the stacked convolutional denoising auto-encoders, which can map images to hierarchical representations without any label information. The network, optimized by layer-wise training, is constructed by stacking layers of denoising auto-encoders in a convolutional way. In each layer, high dimensional feature maps are generated by convolving features of the lower layer with kernels learned by a denoising auto-encoder. The auto-encoder is trained on patches extracted from feature maps in the lower layer to learn robust feature detectors. To better train the large network, a layer-wise whitening technique is introduced into the model. Before each convolutional layer, a whitening layer is embedded to sphere the input data. By layers of mapping, raw images are transformed into high-level feature representations which would boost the performance of the subsequent support vector machine classifier. The proposed algorithm is evaluated by extensive experimentations and demonstrates superior classification performance to state-of-the-art unsupervised networks.",10.1109/TCYB.2016.2536638,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7434593,372,,52,IEEE Journals
Unsupervised Medical Image Translation With Adversarial Diffusion Models,M. Özbey; O. Dalmaz; S. U. H. Dar; H. A. Bedel; Ş. Özturk; A. Güngör; T. Çukur,"Department of Electrical and Electronics Engineering and the National Magnetic Resonance Research Center (UMRAM), Bilkent University, Ankara, Turkey; Department of Electrical and Electronics Engineering and the National Magnetic Resonance Research Center (UMRAM), Bilkent University, Ankara, Turkey; Department of Electrical and Electronics Engineering and the National Magnetic Resonance Research Center (UMRAM), Bilkent University, Ankara, Turkey; Department of Electrical and Electronics Engineering and the National Magnetic Resonance Research Center (UMRAM), Bilkent University, Ankara, Turkey; Department of Electrical and Electronics Engineering and the National Magnetic Resonance Research Center (UMRAM), Bilkent University, Ankara, Turkey; Department of Electrical and Electronics Engineering and the National Magnetic Resonance Research Center (UMRAM), Bilkent University, Ankara, Turkey; Department of Electrical and Electronics Engineering and the National Magnetic Resonance Research Center (UMRAM), Bilkent University, Ankara, Turkey",2023,"Imputation of missing images via source-to-target modality translation can improve diversity in medical imaging protocols. A pervasive approach for synthesizing target images involves one-shot mapping through generative adversarial networks (GAN). Yet, GAN models that implicitly characterize the image distribution can suffer from limited sample fidelity. Here, we propose a novel method based on adversarial diffusion modeling, SynDiff, for improved performance in medical image translation. To capture a direct correlate of the image distribution, SynDiff leverages a conditional diffusion process that progressively maps noise and source images onto the target image. For fast and accurate image sampling during inference, large diffusion steps are taken with adversarial projections in the reverse diffusion direction. To enable training on unpaired datasets, a cycle-consistent architecture is devised with coupled diffusive and non-diffusive modules that bilaterally translate between two modalities. Extensive assessments are reported on the utility of SynDiff against competing GAN and diffusion models in multi-contrast MRI and MRI-CT translation. Our demonstrations indicate that SynDiff offers quantitatively and qualitatively superior performance against competing baselines.",10.1109/TMI.2023.3290149,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10167641,364,,84,IEEE Journals
3D Shape Generation and Completion through Point-Voxel Diffusion,L. Zhou; Y. Du; J. Wu,Stanford University; MIT; Stanford University,2021,"We propose a novel approach for probabilistic generative modeling of 3D shapes. Unlike most existing models that learn to deterministically translate a latent vector to a shape, our model, Point-Voxel Diffusion (PVD), is a unified, probabilistic formulation for unconditional shape generation and conditional, multi-modal shape completion. PVD marries denoising diffusion models with the hybrid, point-voxel representation of 3D shapes. It can be viewed as a series of denoising steps, reversing the diffusion process from observed point cloud data to Gaussian noise, and is trained by optimizing a variational lower bound to the (conditional) likelihood function. Experiments demonstrate that PVD is capable of synthesizing high-fidelity shapes, completing partial point clouds, and generating multiple completion results from single-view depth scans of real objects.",10.1109/ICCV48922.2021.00577,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9711332,363,,49,IEEE Conferences
Neighbor2Neighbor: Self-Supervised Denoising from Single Noisy Images,T. Huang; S. Li; X. Jia; H. Lu; J. Liu,"Renmin University of China; Noah’s Ark Lab, Huawei Technologies; Noah’s Ark Lab, Huawei Technologies; Dalian University of Technology; Noah’s Ark Lab, Huawei Technologies",2021,"In the last few years, image denoising has benefited a lot from the fast development of neural networks. However, the requirement of large amounts of noisy-clean image pairs for supervision limits the wide use of these models. Although there have been a few attempts in training an image denoising model with only single noisy images, existing self-supervised denoising approaches suffer from inefficient network training, loss of useful information, or dependence on noise modeling. In this paper, we present a very simple yet effective method named Neighbor2Neighbor to train an effective image denoising model with only noisy images. Firstly, a random neighbor sub-sampler is proposed for the generation of training image pairs. In detail, input and target used to train a network are images sub-sampled from the same noisy image, satisfying the requirement that paired pixels of paired images are neighbors and have very similar appearance with each other. Secondly, a denoising network is trained on sub-sampled training pairs generated in the first stage, with a proposed regularizer as additional loss for better performance. The proposed Neighbor2Neighbor framework is able to enjoy the progress of state-of-the-art supervised denoising networks in network architecture design. Moreover, it avoids heavy dependence on the assumption of the noise distribution. We explain our approach from a theoretical perspective and further validate it through extensive experiments, including synthetic experiments with different noise distributions in sRGB space and real-world experiments on a denoising benchmark dataset in raw-RGB space.",10.1109/CVPR46437.2021.01454,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577596,362,,36,IEEE Conferences
LR3M: Robust Low-Light Enhancement via Low-Rank Regularized Retinex Model,X. Ren; W. Yang; W. -H. Cheng; J. Liu,"Wangxuan Institute of Computer Technology, Peking University, Beijing, China; Wangxuan Institute of Computer Technology, Peking University, Beijing, China; Institute of Electronics, National Chiao Tung University, Hsinchu, Taiwan; Wangxuan Institute of Computer Technology, Peking University, Beijing, China",2020,"Noise causes unpleasant visual effects in low-light image/video enhancement. In this paper, we aim to make the enhancement model and method aware of noise in the whole process. To deal with heavy noise which is not handled in previous methods, we introduce a robust low-light enhancement approach, aiming at well enhancing low-light images/videos and suppressing intensive noise jointly. Our method is based on the proposed Low-Rank Regularized Retinex Model (LR3M), which is the first to inject low-rank prior into a Retinex decomposition process to suppress noise in the reflectance map. Our method estimates a piece-wise smoothed illumination and a noise-suppressed reflectance sequentially, avoiding remaining noise in the illumination and reflectance maps which are usually presented in alternative decomposition methods. After getting the estimated illumination and reflectance, we adjust the illumination layer and generate our enhancement result. Furthermore, we apply our LR3M to video low-light enhancement. We consider inter-frame coherence of illumination maps and find similar patches through reflectance maps of successive frames to form the low-rank prior to make use of temporal correspondence. Our method performs well for a wide variety of images and videos, and achieves better quality both in enhancing and denoising, compared with the state-of-the-art methods.",10.1109/TIP.2020.2984098,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9056796,356,,49,IEEE Journals
Hyperspectral Image Denoising via Sparse Representation and Low-Rank Constraint,Y. -Q. Zhao; J. Yang,"School of Automation, Northwestern Polytechnical University, Xi'an, China; School of Automation, Northwestern Polytechnical University, Xi'an, China",2015,"Hyperspectral image (HSI) denoising is an essential preprocess step to improve the performance of subsequent applications. For HSI, there is much global and local redundancy and correlation (RAC) in spatial/spectral dimensions. In addition, denoising performance can be improved greatly if RAC is utilized efficiently in the denoising process. In this paper, an HSI denoising method is proposed by jointly utilizing the global and local RAC in spatial/spectral domains. First, sparse coding is exploited to model the global RAC in the spatial domain and local RAC in the spectral domain. Noise can be removed by sparse approximated data with learned dictionary. At this stage, only local RAC in the spectral domain is employed. It will cause spectral distortion. To compensate the shortcoming of local spectral RAC, low-rank constraint is used to deal with the global RAC in the spectral domain. Different hyperspectral data sets are used to test the performance of the proposed method. The denoising results by the proposed method are superior to results obtained by other state-of-the-art hyperspectral denoising methods.",10.1109/TGRS.2014.2321557,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6819824,355,,52,IEEE Journals
Self2Self With Dropout: Learning Self-Supervised Denoising From Single Image,Y. Quan; M. Chen; T. Pang; H. Ji,"School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; Department of Mathematics, National University of Singapore, Singapore; Department of Mathematics, National University of Singapore, Singapore",2020,"In last few years, supervised deep learning has emerged as one powerful tool for image denoising, which trains a denoising network over an external dataset of noisy/clean image pairs. However, the requirement on a high-quality training dataset limits the broad applicability of the denoising networks. Recently, there have been a few works that allow training a denoising network on the set of external noisy images only. Taking one step further, this paper proposes a self-supervised learning method which only uses the input noisy image itself for training. In the proposed method, the network is trained with dropout on the pairs of Bernoulli-sampled instances of the input image, and the result is estimated by averaging the predictions generated from multiple instances of the trained model with dropout. The experiments show that the proposed method not only significantly outperforms existing single-image learning or non-learning methods, but also is competitive to the denoising networks trained on external datasets.",10.1109/CVPR42600.2020.00196,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9157420,353,,32,IEEE Conferences
"Snapshot Compressive Imaging: Theory, Algorithms, and Applications",X. Yuan; D. J. Brady; A. K. Katsaggelos,"Video Analysis and Coding Lead Researcher, Bell Labs, Murray Hill, New Jersey, USA; Optical Sciences, University of Arizona, Tucson, Arizona, USA; Electrical and Computer, Northwestern University, Evanston, Illinois, USA",2021,"Capturing high-dimensional (HD) data is a long-term challenge in signal processing and related fields. Snapshot compressive imaging (SCI) uses a 2D detector to capture HD (≥3D) data in a snapshot measurement. Via novel optical designs, the 2D detector samples the HD data in a compressive manner; following this, algorithms are employed to reconstruct the desired HD data cube. SCI has been used in hyperspectral imaging, video, holography, tomography, focal depth imaging, polarization imaging, microscopy, and so on. Although the hardware has been investigated for more than a decade, the theoretical guarantees have only recently been derived. Inspired by deep learning, various deep neural networks have also been developed to reconstruct the HD data cube in spectral SCI and video SCI. This article reviews recent advances in SCI hardware, theory, and algorithms, including both optimizationbased and deep learning-based algorithms. Diverse applications and the outlook for SCI are also discussed.",10.1109/MSP.2020.3023869,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9363502,353,,106,IEEE Magazines
A Novel Deep-Learning Model for Automatic Detection and Classification of Breast Cancer Using the Transfer-Learning Technique,A. Saber; M. Sakr; O. M. Abo-Seida; A. Keshk; H. Chen,"Department of Computer Science, Faculty of Computers and Information, Kafr El-Sheikh University, Kafr El-Sheikh, Egypt; Department of Computer Science, Faculty of Computers and Information, Menoufia University, Menoufia, Egypt; Department of Computer Science, Faculty of Computers and Information, Kafr El-Sheikh University, Kafr El-Sheikh, Egypt; Department of Computer Science, Faculty of Computers and Information, Menoufia University, Menoufia, Egypt; Department of Computer Science and Artificial Intelligence, Wenzhou University, Wenzhou, China",2021,"Breast cancer (BC) is one of the primary causes of cancer death among women. Early detection of BC allows patients to receive appropriate treatment, thus increasing the possibility of survival. In this work, a new deep-learning (DL) model based on the transfer-learning (TL) technique is developed to efficiently assist in the automatic detection and diagnosis of the BC suspected area based on two techniques namely 80-20 and cross-validation. DL architectures are modeled to be problem-specific. TL uses the knowledge gained during solving one problem in another relevant problem. In the proposed model, the features are extracted from the mammographic image analysis- society (MIAS) dataset using a pre-trained convolutional neural network (CNN) architecture such as Inception V3, ResNet50, Visual Geometry Group networks (VGG)-19, VGG-16, and Inception-V2 ResNet. Six evaluation metrics for evaluating the performance of the proposed model in terms of accuracy, sensitivity, specificity, precision, F-score, and area under the ROC curve (AUC) has been chosen. Experimental results show that the TL of the VGG16 model is powerful for BC diagnosis by classifying the mammogram breast images with overall accuracy, sensitivity, specificity, precision, F-score, and AUC of 98.96%, 97.83%, 99.13%, 97.35%, 97.66%, and 0.995, respectively for 80-20 method and 98.87%, 97.27%, 98.2%, 98.84%, 98.04%, and 0.993 for 10-fold cross-validation method.",10.1109/ACCESS.2021.3079204,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9427477,347,,122,IEEE Journals
Background Prior-Based Salient Object Detection via Deep Reconstruction Residual,J. Han; D. Zhang; X. Hu; L. Guo; J. Ren; F. Wu,"School of Automation, Northwestern Polytechnical University, Xi’an, China; School of Automation, Northwestern Polytechnical University, Xi’an, China; School of Automation, Northwestern Polytechnical University, Xi’an, China; School of Automation, Northwestern Polytechnical University, Xi’an, China; Department of Electronic and Electrical Engineering, University of Strathclyde, Glasgow, U.K.; School of Information Science, University of Science and Technology of China, Hefei, China",2015,"Detection of salient objects from images is gaining increasing research interest in recent years as it can substantially facilitate a wide range of content-based multimedia applications. Based on the assumption that foreground salient regions are distinctive within a certain context, most conventional approaches rely on a number of hand-designed features and their distinctiveness is measured using local or global contrast. Although these approaches have been shown to be effective in dealing with simple images, their limited capability may cause difficulties when dealing with more complicated images. This paper proposes a novel framework for saliency detection by first modeling the background and then separating salient objects from the background. We develop stacked denoising autoencoders with deep learning architectures to model the background where latent patterns are explored and more powerful representations of data are learned in an unsupervised and bottom-up manner. Afterward, we formulate the separation of salient objects from the background as a problem of measuring reconstruction residuals of deep autoencoders. Comprehensive evaluations of three benchmark datasets and comparisons with nine state-of-the-art algorithms demonstrate the superiority of this paper.",10.1109/TCSVT.2014.2381471,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6987333,345,,51,IEEE Journals
CycleISP: Real Image Restoration via Improved Data Synthesis,S. W. Zamir; A. Arora; S. Khan; M. Hayat; F. S. Khan; M. -H. Yang; L. Shao,"Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; Inception Institute of Artificial Intelligence, UAE; University of California, Merced; Inception Institute of Artificial Intelligence, UAE",2020,"The availability of large-scale datasets has helped unleash the true potential of deep convolutional neural networks (CNNs). However, for the single-image denoising problem, capturing a real dataset is an unacceptably expensive and cumbersome procedure. Consequently, image denoising algorithms are mostly developed and evaluated on synthetic data that is usually generated with a widespread assumption of additive white Gaussian noise (AWGN). While the CNNs achieve impressive results on these synthetic datasets, they do not perform well when applied on real camera images, as reported in recent benchmark datasets. This is mainly because the AWGN is not adequate for modeling the real camera noise which is signal-dependent and heavily transformed by the camera imaging pipeline. In this paper, we present a framework that models camera imaging pipeline in forward and reverse directions. It allows us to produce any number of realistic image pairs for denoising both in RAW and sRGB spaces. By training a new image denoising network on realistic synthetic data, we achieve the state-of-the-art performance on real camera benchmark datasets. The parameters in our models are ~5 times lesser than the previous best method for RAW denoising. Furthermore, we demonstrate that the proposed framework generalizes beyond image denoising problem e.g., for color matching in stereoscopic cinema. The source code and pre-trained models are available at https://github.com/swz30/CycleISP.",10.1109/CVPR42600.2020.00277,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9156752,345,,69,IEEE Conferences
Low-Light Image Enhancement With Semi-Decoupled Decomposition,S. Hao; X. Han; Y. Guo; X. Xu; M. Wang,"Key Laboratory of Knowledge Engineering with Big Data, Hefei University of Technology, Ministry of Education, Hefei, China; Key Laboratory of Knowledge Engineering with Big Data, Hefei University of Technology, Ministry of Education, Hefei, China; Key Laboratory of Knowledge Engineering with Big Data, Hefei University of Technology, Ministry of Education, Hefei, China; School of Computer Science and Technology, Wuhan University of Science and Technology, Wuhan, China; Key Laboratory of Knowledge Engineering with Big Data, Hefei University of Technology, Ministry of Education, Hefei, China",2020,"Low-light image enhancement is important for high-quality image display and other visual applications. However, it is a challenging task as the enhancement is expected to improve the visibility of an image while keeping its visual naturalness. Retinex-based methods have well been recognized as a representative technique for this task, but they still have the following limitations. First, due to less-effective image decomposition or strong imaging noise, various artifacts can still be brought into enhanced results. Second, although the priori information can be explored to partially solve the first issue, it requires to carefully model the priori by a regularization term and usually makes the optimization process complicated. In this paper, we address these issues by proposing a novel Retinex-based low-light image enhancement method, in which the Retinex image decomposition is achieved in an efficient semi-decoupled way. Specifically, the illumination layer $I$ is gradually estimated only with the input image $S$ based on the proposed Gaussian Total Variation model, while the reflectance layer $R$ is jointly estimated by $S$ and the intermediate $I$. In addition, the imaging noise can be simultaneously suppressed during the estimation of $R$. Experimental results on several public datasets demonstrate that our method produces images with both higher visibility and better visual quality, which outperforms the state-of-the-art low-light enhancement methods in terms of several objective and subjective evaluation metrics.",10.1109/TMM.2020.2969790,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8970535,336,,44,IEEE Journals
Phase Unwrapping in InSAR : A Review,H. Yu; Y. Lan; Z. Yuan; J. Xu; H. Lee,"Electronic engineering, Xidian University, Xi’an, China; Information and communication engineering, Xidian University, Xi’an, China; Electronic information engineering, Xiangtan University, China; Communication engineering, Xidian University, Xi’an, China; Department of Civil Engineering, Yonsei University, Seoul, South Korea",2019,"Synthetic aperture radar (SAR) interferometry (InSAR) is primarily used in remote-sensing applications and has created a new class of radar data that has significantly evolved during the last couple of decades. Most of the InSAR applications (e.g., topographic mapping and deformation monitoring) typically use a technique called phase unwrapping (PU). In this article, we present an overview of PU techniques in InSAR signal processing. First, we review the established single-baseline (SB) PU methods and then describe innovative PU techniques and concepts related to multibaseline (MB) PU and large-scale (LS) PU. In addition, we discuss several numerical processing examples of these PU techniques. It is our hope that this review will provide guidelines to future researchers to enhance further PU algorithmic developments.",10.1109/MGRS.2018.2873644,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8672140,335,,111,IEEE Magazines
Restoring Vision in Adverse Weather Conditions With Patch-Based Denoising Diffusion Models,O. Özdenizci; R. Legenstein,"Institute of Theoretical Computer Science, Graz University of Technology, Graz, Austria; Institute of Theoretical Computer Science, Graz University of Technology, Graz, Austria",2023,"Image restoration under adverse weather conditions has been of significant interest for various computer vision applications. Recent successful methods rely on the current progress in deep neural network architectural designs (e.g., with vision transformers). Motivated by the recent progress achieved with state-of-the-art conditional generative models, we present a novel patch-based image restoration algorithm based on denoising diffusion probabilistic models. Our patch-based diffusion modeling approach enables size-agnostic image restoration by using a guided denoising process with smoothed noise estimates across overlapping patches during inference. We empirically evaluate our model on benchmark datasets for image desnowing, combined deraining and dehazing, and raindrop removal. We demonstrate our approach to achieve state-of-the-art performances on both weather-specific and multi-weather image restoration, and experimentally show strong generalization to real-world test images.",10.1109/TPAMI.2023.3238179,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10021824,335,,75,IEEE Journals
In-Place Scene Labelling and Understanding with Implicit Scene Representation,S. Zhi; T. Laidlow; S. Leutenegger; A. J. Davison,"Department of Computing, Dyson Robotics Laboratory at Imperial College, Imperial College, London, UK; Department of Computing, Dyson Robotics Laboratory at Imperial College, Imperial College, London, UK; Department of Computing, Dyson Robotics Laboratory at Imperial College, Imperial College, London, UK; Department of Computing, Dyson Robotics Laboratory at Imperial College, Imperial College, London, UK",2021,"Semantic labelling is highly correlated with geometry and radiance reconstruction, as scene entities with similar shape and appearance are more likely to come from similar classes. Recent implicit neural reconstruction techniques are appealing as they do not require prior training data, but the same fully self-supervised approach is not possible for semantics because labels are human-defined properties.We extend neural radiance fields (NeRF) to jointly encode semantics with appearance and geometry, so that complete and accurate 2D semantic labels can be achieved using a small amount of in-place annotations specific to the scene. The intrinsic multi-view consistency and smoothness of NeRF benefit semantics by enabling sparse labels to efficiently propagate. We show the benefit of this approach when labels are either sparse or very noisy in room-scale scenes. We demonstrate its advantageous properties in various interesting applications such as an efficient scene labelling tool, novel semantic view synthesis, label denoising, super-resolution, label interpolation and multi-view semantic label fusion in visual semantic mapping systems.",10.1109/ICCV48922.2021.01554,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9710936,330,,35,IEEE Conferences
Burst Denoising with Kernel Prediction Networks,B. Mildenhall; J. T. Barron; J. Chen; D. Sharlet; R. Ng; R. Carroll,UC Berkeley; Google Research; Google Research; Google Research; Google Research; Google Research,2018,"We present a technique for jointly denoising bursts of images taken from a handheld camera. In particular, we propose a convolutional neural network architecture for predicting spatially varying kernels that can both align and denoise frames, a synthetic data generation approach based on a realistic noise formation model, and an optimization guided by an annealed loss function to avoid undesirable local minima. Our model matches or outperforms the state-of-the-art across a wide range of noise levels on both real and synthetic data.",10.1109/CVPR.2018.00265,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8578363,326,1,29,IEEE Conferences
A New Benchmark Based on Recent Advances in Multispectral Pansharpening: Revisiting Pansharpening With Classical and Emerging Pansharpening Methods,G. Vivone; M. Dalla Mura; A. Garzelli; R. Restaino; G. Scarpa; M. O. Ulfarsson; L. Alparone; J. Chanussot,"Department of Information Engineering, Electrical Engineering and Applied Mathematics, University of Salerno, Fisciano, Italy; GIPSA-Lab, Grenoble Institute of Technology, Grenoble, France; Department of Information Engineering and Mathematics, University of Siena, Italy; Department of Information Engineering, Electrical Engineering and Applied Mathematics, University of Salerno, Fisciano, Italy; Department of Electrical Engineering and Information Technology, University Federico II, Naples, Italy; Electrical and Computer Engineering, University of Iceland, Reykjavik; Department of Information Engineering, University of Florence, Italy; Aerospace Information Research Institute, Chinese Academy of Sciences, Beijing",2021,"Pansharpening refers to the fusion of a multispectral (MS) image and panchromatic (PAN) data aimed at generating an outcome with the same spatial resolution of the PAN data and the spectral resolution of the MS image. In the last 30 years, several approaches to deal with this issue have been proposed. However, the reproducibility of these methods is often limited, making the comparison with the state of the art hard to achieve. Thus, to fill this gap, we propose a new benchmark consisting of recent advances in MS pansharpening. In particular, optimized classical approaches [multiresolution analysis (MRA) and component substitution (CS)] are compared with methods belonging to the third generation of pansharpening, represented by variational optimization-based (VO) and machine learning (ML) techniques. The benchmark is tested on different scenarios (from urban to rural areas) acquired by different commercial sensors [i.e., IKONOS (IK), GeoEye-1 (GE-1), and WorldView-3 (WV-3)]. Both quantitative and qualitative assessments and the computational burden are analyzed in this article, and all of the implementations have been collected in a MATLAB toolbox that is made available to the community.",10.1109/MGRS.2020.3019315,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9245579,320,,143,IEEE Magazines
