Document Title,Authors,Author Affiliations,Publication Year,Abstract,DOI,PDF Link,Author Keywords,Article Citation Count,Patent Citation Count,Reference Count
Blind Deblurring via a Novel Recursive Deep CNN Improved by Wavelet Transform,C. Min; G. Wen; B. Li; F. Fan,"School of Science, Southwest Petroleum University, Chengdu, China; School of Science, Southwest Petroleum University, Chengdu, China; School of Science, Southwest Petroleum University, Chengdu, China; School of Science, Southwest Petroleum University, Chengdu, China",2018,"Blind image deconvolution is an ill-posed problem, which is mainly addressed by the regularization methods. Wavelet transform is an effective denoising method related to regularized inversion. In this paper, wavelet transform is utilized to decompose and extract the low- and high-frequency information of the blurred image, which is taken as the first step of the presented deblurring methods in this paper. However, when the process highlights the approximate portion of the image feature, the blurry image will be smoothed so that the image is distorted. Simultaneously, the overall wavelet transform will result in excessive data redundancy for the image. Thus, in the second step, based upon the recursive convolution neural network, a deep recursive convolutional neural network (R-DbCNN) is designed, which can eliminate or weaken the characteristics of high data redundancy and image smoothness caused by wavelet transform to remove the blur of corrupted image. Comparing with the traditional convolution neural network in image restoration, R-DbCNN has better performance in deblurring with fast training speed. Thereafter, a novel loss function is built to attain the best deblurring effect of the proposed method based on the L2 regularization term. The experiment results demonstrate that our method has practical applicability for image restoration with different blurs, such as the motion blur, Gaussian blur, and out-of-focus by camera.",10.1109/ACCESS.2018.2880279,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8529188,Blind deblurring;wavelet domain;recursive deblurring convolution neural network,24,,39
Multi-Scale Neural Network With Dilated Convolutions for Image Deblurring,J. J. M. Ople; P. -Y. Yeh; S. -W. Sun; I. -T. Tsai; K. -L. Hua,"Department of Computer Science and Information Technology, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Computer Science and Information Technology, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of New Media Art, Taipei National University of the Arts, Taipei, Taiwan; Department of Computer Science and Information Technology, National Taiwan University of Science and Technology, Taipei, Taiwan; Department of Computer Science and Information Technology, National Taiwan University of Science and Technology, Taipei, Taiwan",2020,"In image deblurring, information from the regions where the blur was propagated is needed for effective deblurring. For example, large blurs, such as those caused by fast-moving objects leaving a trail of afterimages, need spatial context from a large region, while small blurs, such as those caused by slight camera shake, need spatial context from a smaller scope. In this paper, we used multi-scale features to provide the spatial dependencies needed to deblur non-uniform blurs. Compared to previous works, we efficiently extract multi-scale features using two approaches: (1) coarse-to-fine scheme that can extract multi-scale features by applying the network to different scales of the images, and (2) dilated convolutions that can extract multi-scale features by using different dilation rates. Combining both methods has a multiplicative effect since multi-scale features from dilated convolutions are extracted from the input images at different scales (i.e. coarse-to-fine scheme). Furthermore, we optimized our network architecture by using parallel convolutions to decrease the execution time of the deblurring process. We show that our proposed method has better results than state-of-the-art methods in terms of image quality and execution time.",10.1109/ACCESS.2020.2980996,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9036948,Blind motion deblurring;convolutional neural network;dilated convolution;multi-scale information;coarse-to-fine network,24,,30
A robust non-blind deblurring method using deep denoiser prior,Y. Fang; H. Zhang; H. S. Wong; T. Zeng,"Imperial College London, London, United Kingdom; The Chinese University of Hong Kong, Shatin, Hong Kong; The Chinese University of Hong Kong, Shatin, Hong Kong; The Chinese University of Hong Kong, Shatin, Hong Kong",2022,"The existing non-blind deblurring methods are mostly susceptible to noise in the given blurring kernel, which is usually estimated from the observed image. This will produce undesirable ringing artifacts around the recovered edges when the given kernel is not accurate enough. Besides, the noise and outliers in the observed images may also severely degrade the performance of the deblurring methods. Considering these factors, we designed a robust non-blind deblurring method taking all these noises into account. In this paper, we propose a kernel error term to rectify the given kernel in the midst of the deconvolution process. A residual error term is also introduced to deal with the outliers caused by noise or saturation. A deep learning denoiser prior is adopted to reserve the fine textures in the recovered image. The experiments show clearly that the proposed method achieves remarkable progress in both the visual quality and the numerical results of the recovered images compared to the state-of-the-art deblurring methods.",10.1109/CVPRW56347.2022.00089,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9857492,,24,,52
Image Deblurring With Image Blurring,Z. Li; Z. Gao; H. Yi; Y. Fu; B. Chen,"School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China; School of Computing, National University of Singapore, Queenstown, Singapore; Henry Samueli School of Engineering and Applied Science, University of California at Los Angeles, Los Angeles, CA, USA; School of Remote Sensing and Information Engineering, Wuhan University, Wuhan, China",2023,"Deep learning (DL) based methods for motion deblurring, taking advantage of large-scale datasets and sophisticated network structures, have reported promising results. However, two challenges still remain: existing methods usually perform well on synthetic datasets but cannot deal with complex real-world blur, and in addition, over- and under-estimation of the blur will result in restored images that remain blurred and even introduce unwanted distortion. We propose a motion deblurring framework that includes a Blur Space Disentangled Network (BSDNet) and a Hierarchical Scale-recurrent Deblurring Network (HSDNet) to address these issues. Specifically, we train an image blurring model to facilitate learning a better image deblurring model. Firstly, BSDNet learns how to separate the blur features from blurry images, which is adaptable for blur transferring, dataset augmentation, and ultimately directing the deblurring model. Secondly, to gradually recover sharp information in a coarse-to-fine manner, HSDNet makes full use of the blur features acquired by BSDNet as a priori and breaks down the non-uniform deblurring task into various subtasks. Moreover, the motion blur dataset created by BSDNet also bridges the gap between training images and actual blur. Extensive experiments on real-world blur datasets demonstrate that our method works effectively on complex scenarios, resulting in the best performance that significantly outperforms many state-of-the-art approaches.",10.1109/TIP.2023.3321515,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10274681,Deep learning;disentanglement representation;image deblurring;image blurring;scale-recurrent,23,,72
Explicit Ringing Removal in Image Deblurring,A. Mosleh; Y. Elmi Sola; F. Zargari; E. Onzon; J. M. P. Langlois,"Algolux Inc., Montréal, QC, Canada; Department of Computer Engineering, Islamic Azad University, Tehran, Iran; Iran Telecom Research Center, Information Technology Faculty, Tehran, Iran; Algolux Inc., Montréal, QC, Canada; Department of Computer and Software Engineering, École Polytechnique de Montréal, Montréal, QC, Canada",2018,"In this paper, we present a simple yet effective image deblurring method to produce ringing-free deblurred images. Our work is inspired by the observation that large-scale deblurring ringing artifacts are measurable through a multi-resolution pyramid of low-pass filtering of the blurred-deblurred image pair. We propose to model such a quantification as a convex cost function and minimize it directly in the deblurring process in order to reduce ringing regardless of its cause. An efficient primal-dual algorithm is proposed as a solution to this optimization problem. Since the regularization is more biased toward ringing patterns, the details of the reconstructed image are prevented from over-smoothing. An inevitable source of ringing is sensor saturation which can be detected costlessly contrary to most other sources of ringing. However, dealing with the saturation effect in deblurring introduces a non-linear operator in optimization problem. In this paper, we also introduce a linear approximation as a solution to handling saturation in the proposed deblurring method. As a result of these steps, we significantly enhance the quality of the deblurred images. Experimental results and quantitative evaluations demonstrate that the proposed method performs favorably against state-of-the-art image deblurring methods.",10.1109/TIP.2017.2764625,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8076887,Deconvolution;image deblurring;optimization;primal-dual;regularization;ringing artifacts;saturation,23,,59
Self-Paced Kernel Estimation for Robust Blind Image Deblurring,D. Gong; M. Tan; Y. Zhang; A. van den Hengel; Q. Shi,"School of Computer Science, The University of Adelaide, Australia; School of Software Engineering, South China University of Technology, China; School of Computer Science and Engineering, Northwestern Polytechnical University, China; School of Computer Science, The University of Adelaide, Adelaide, SA, Australia; School of Computer Science, The University of Adelaide, Australia",2017,"The challenge in blind image deblurring is to remove the effects of blur with limited prior information about the nature of the blur process. Existing methods often assume that the blur image is produced by linear convolution with additive Gaussian noise. However, including even a small number of outliers to this model in the kernel estimation process can significantly reduce the resulting image quality. Previous methods mainly rely on some simple but unreliable heuristics to identify outliers for kernel estimation. Rather than attempt to identify outliers to the model a priori, we instead propose to sequentially identify inliers, and gradually incorporate them into the estimation process. The self-paced kernel estimation scheme we propose represents a generalization of existing self-paced learning approaches, in which we gradually detect and include reliable inlier pixel sets in a blurred image for kernel estimation. Moreover, we automatically activate a subset of significant gradients w.r.t. the reliable inlier pixels, and then update the intermediate sharp image and the kernel accordingly. Experiments on both synthetic data and real-world images with various kinds of outliers demonstrate the effectiveness and robustness of the proposed method compared to the stateof- the-art methods.",10.1109/ICCV.2017.184,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8237446,,23,,43
Stochastic Blind Motion Deblurring,L. Xiao; J. Gregson; F. Heide; W. Heidrich,"Department of Computer Science, The University of British Columbia, Vancouver, BC, Canada; Department of Computer Science, The University of British Columbia, Vancouver, BC, Canada; Department of Computer Science, The University of British Columbia, Vancouver, BC, Canada; Visual Computing Center, King Abdullah University of Science and Technology, Thuwal, Saudi Arabia",2015,"Blind motion deblurring from a single image is a highly under-constrained problem with many degenerate solutions. A good approximation of the intrinsic image can, therefore, only be obtained with the help of prior information in the form of (often nonconvex) regularization terms for both the intrinsic image and the kernel. While the best choice of image priors is still a topic of ongoing investigation, this research is made more complicated by the fact that historically each new prior requires the development of a custom optimization method. In this paper, we develop a stochastic optimization method for blind deconvolution. Since this stochastic solver does not require the explicit computation of the gradient of the objective function and uses only efficient local evaluation of the objective, new priors can be implemented and tested very quickly. We demonstrate that this framework, in combination with different image priors produces results with Peak Signal-to-Noise Ratio (PSNR) values that match or exceed the results obtained by much more complex state-of-the-art blind motion deblurring algorithms.",10.1109/TIP.2015.2432716,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7106534,Motion deblur;blind deconvolution;stochastic random walk;cross channel prior;chromatic kernel;saturated pixels;Poisson noise;Motion deblur;blind deconvolution;stochastic random walk;cross channel prior;chromatic kernel;saturated pixels;Poisson noise,23,,48
Deploying Image Deblurring across Mobile Devices: A Perspective of Quality and Latency,C. -M. Chiang; Y. Tseng; Y. -S. Xu; H. -K. Kuo; Y. -M. Tsai; G. -Y. Chen; K. -S. Tan; W. -T. Wang; Y. -C. Lin; S. -Y. Roy Tseng; W. -S. Lin; C. -L. Yu; B. Y. Shen; K. Kao; C. -M. Cheng; H. -J. Chen,"MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan; MediaTek Inc., Hsinchu, Taiwan",2020,"Recently, image enhancement and restoration have become important applications on mobile devices, such as super-resolution and image deblurring. However, most state-of-the-art networks present extremely high computational complexity. This makes them difficult to be deployed on mobile devices with acceptable latency. Moreover, when deploying to different mobile devices, there is a large latency variation due to the difference and limitation of deep learning accelerators on mobile devices. In this paper, we conduct a search of portable network architectures for better quality-latency trade-off across mobile devices. We further present the effectiveness of widely used network optimizations for image deblurring task. This paper provides comprehensive experiments and comparisons to uncover the in-depth analysis for both latency and image quality. Through all the above works, we demonstrate the successful deployment of image deblurring application on mobile devices with the acceleration of deep learning accelerators. To the best of our knowledge, this is the first paper that addresses all the deployment issues of image deblurring task across mobile devices. This paper provides practical deployment-guidelines, and is adopted by the championship-winning team in NTIRE 2020 Image Deblurring Challenge on Smartphone Track.",10.1109/CVPRW50498.2020.00259,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9150842,,23,,57
Image Deblurring and Super-Resolution Using Deep Convolutional Neural Networks,F. Albluwi; V. A. Krylov; R. Dahyot,"School of Computer Science & Statistics, Trinity College Dublin, Ireland; School of Computer Science & Statistics, Trinity College Dublin, Ireland; School of Computer Science & Statistics, Trinity College Dublin, Ireland",2018,"Recently multiple high performance algorithms have been developed to infer high-resolution images from low-resolution image input using deep learning algorithms. The related problem of super-resolution from blurred or corrupted low-resolution images has however received much less attention. In this work, we propose a new deep learning approach that simultaneously addresses deblurring and super-resolution from blurred low resolution images. We evaluate the state-of-the-art super-resolution convolutional neural network (SR-CNN) architecture proposed in [1] for the blurred reconstruction scenario and propose a revised deeper architecture that proves its superiority experimentally both when the levels of blur are known and unknown a priori.",10.1109/MLSP.2018.8516983,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8516983,Image super-resolution;deblurring;deep learning;convolutional neural networks,22,,25
GAN-Based Image Deblurring Using DCT Loss With Customized Datasets,H. Tomosada; T. Kudo; T. Fujisawa; M. Ikehara,"Department of Electronics and Electrical Engineering, Keio University, Yokohama, Japan; Department of Electronics and Electrical Engineering, Keio University, Yokohama, Japan; Department of Electronics and Electrical Engineering, Keio University, Yokohama, Japan; Department of Electronics and Electrical Engineering, Keio University, Yokohama, Japan",2021,"In this paper, we propose a high quality image deblurring method that uses discrete cosine transform (DCT) and requires less computational complexity. We train our model on a new dataset which is customized to include images with large motion blurs. Recently, Convolutional Neural Network (CNN) and Generative Adversarial Network (GAN) based algorithms have been proposed for image deblurring. Moreover, multi-scale and multi-patch architectures of CNN restore blurred images clearly and suppress more ringing or blocking artifacts, but they take a longer time to process. To improve the quality of deblured images and reduce the computational time, we propose a method called “DeblurDCTGAN” that preserves texture and suppresses ringing artifacts in the restored image without multi-scale or multi-patch architecture using DCT based loss. This loss compares the restored image and the ground truth image in the frequency domain. With this loss, DeblurDCTGAN can reduce block noise and ringing artifacts while maintaining deblurring performance. Our experimental results show that DeblurDCTGAN gets the highest performances in terms of PSNR, SSIM, and running time compared with conventional methods. In terms of real image datasets, DeblurDCTGAN shows a better performance by using a customized training dataset made from GoPro, DVD, NFS and HIDE training datasets. Experimented code with pre-trained weights, datasets and results are available at https://github.com/Hiroki-Tomosada/DCTGAN-master",10.1109/ACCESS.2021.3116194,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9551883,Image deblurring;blind deconvolution;non-uniform;GAN;discrete cosine transform (DCT),22,,34
Coupled Learning for Facial Deblur,D. Tian; D. Tao,"Centre for Quantum Computation & Intelligent Systems and the Faculty of Engineering and Information Technology, University of Technology Sydney, 81 Broadway Street, Ultimo, NSW, Australia; Centre for Quantum Computation & Intelligent Systems and the Faculty of Engineering and Information Technology, University of Technology Sydney, 81 Broadway Street, Ultimo, NSW, Australia",2016,"Blur in facial images significantly impedes the efficiency of recognition approaches. However, most existing blind deconvolution methods cannot generate satisfactory results due to their dependence on strong edges, which are sufficient in natural images but not in facial images. In this paper, we represent point spread functions (PSFs) by the linear combination of a set of pre-defined orthogonal PSFs, and similarly, an estimated intrinsic (EI) sharp face image is represented by the linear combination of a set of pre-defined orthogonal face images. In doing so, PSF and EI estimation is simplified to discovering two sets of linear combination coefficients, which are simultaneously found by our proposed coupled learning algorithm. To make our method robust to different types of blurry face images, we generate several candidate PSFs and EIs for a test image, and then, a non-blind deconvolution method is adopted to generate more EIs by those candidate PSFs. Finally, we deploy a blind image quality assessment metric to automatically select the optimal EI. Thorough experiments on the facial recognition technology database, extended Yale face database B, CMU pose, illumination, and expression (PIE) database, and face recognition grand challenge database version 2.0 demonstrate that the proposed approach effectively restores intrinsic sharp face images and, consequently, improves the performance of face recognition.",10.1109/TIP.2015.2509418,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7358105,Coupled Learning;Facial Deblur;Point Spread Function;Coupled learning;facial deblur;point spread function,22,,40
Deblur-YOLO: Real-Time Object Detection with Efficient Blind Motion Deblurring,S. Zheng; Y. Wu; S. Jiang; C. Lu; G. Gupta,"College of Science and Technology, Wenzhou-Kean University, Wenzhou, China; College of Science and Technology, Wenzhou-Kean University, Wenzhou, China; College of Science and Technology, Wenzhou-Kean University, Wenzhou, China; College of Science and Technology, Wenzhou-Kean University, Wenzhou, China; College of Science and Technology, Wenzhou-Kean University, Wenzhou, China",2021,"Object detection has been a traditional yet open computer vision research field. In intensive studies, object detection models have achieved promising results regarding recognition accuracy and inference speed. However, previous state-of-the-art algorithms fail to operate at blurry images. In this work, we propose Deblur-YOLO, an efficient, YOLO-based and detection-driven approach robust to motion blur photographs. We introduce a generative adversarial network with a dilated feature pyramid generator, a pair of multi-scale discriminators with spectral normalization, and a detection discriminator. We design a new image quality metric called Smooth Peak Signal-to-Noise Ratio (SPSNR) for measuring the smoothness of the reconstructed image. Empirical studies on benchmark datasets demonstrate Deblur-YOLO's superiority. On COCO 2014, Set 5 and Setl4, Deblur-YOLO achieves leading results for parameters, deblurring time, PSNR, SPSNR and SSIM. We also visually display the excellence of our deblurring performance to competing models.",10.1109/IJCNN52387.2021.9534352,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9534352,,22,,42
Deblurring Low-Light Images with Light Streaks,Z. Hu; S. Cho; J. Wang; M. -H. Yang,"Hikvision Research America, Santa Clara, CA; DGIST, Korea; Megvii Inc., Seattle, WA; University of California at Merced, Merced, CA",2018,"Images acquired in low-light conditions with handheld cameras are often blurry, so steady poses and long exposure time are required to alleviate this problem. Although significant advances have been made in image deblurring, state-of-the-art approaches often fail on low-light images, as a sufficient number of salient features cannot be extracted for blur kernel estimation. On the other hand, light streaks are common phenomena in low-light images that have not been extensively explored in existing approaches. In this work, we propose an algorithm that utilizes light streaks to facilitate deblurring low-light images. The light streaks, which commonly exist in the low-light blurry images, contain rich information regarding camera motion and blur kernels. A method is developed in this work to detect light streaks for kernel estimation. We introduce a non-linear blur model that explicitly takes light streaks and corresponding light sources into account, and pose them as constraints for estimating the blur kernel in an optimization framework. For practical applications, the proposed algorithm is extended to handle images undergoing non-uniform blur. Experimental results show that the proposed algorithm performs favorably against the state-of-the-art methods on deblurring real-world low-light images.",10.1109/TPAMI.2017.2768365,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8094022,Image deblurring;light streak;non-uniform blur,22,,43
Combining Spatial and Frequency Information for Image Deblurring,J. Hai; R. Yang; Y. Yu; S. Han,"School of Aeronautics and Astronautics, Sichuan University, Chengdu, China; School of Aeronautics and Astronautics, Sichuan University, Chengdu, China; School of Aeronautics and Astronautics, Sichuan University, Chengdu, China; School of Aeronautics and Astronautics, Sichuan University, Chengdu, China",2022,"This letter aims to combine spatial and frequency information for single image deblurring. Although some methods have tried to use frequency information to perform deblurring, they only simply process the different frequencies information separately or concatenate the real part and imaginary part of frequency features but ignore the strong correlation between them. To address this problem, we propose a simple but effective frequency interaction pipeline to realize the mutual conversion of the real part and the imaginary part. Then, we construct a spatial-frequency conversion module (SFCM) to promote the mutual conversion between the frequency information and the spatial information. Based on the proposed components, we build a multi-scale deblurring network, dubbed SFDNet, which can fully exploit coarse and middle-level information in spatial and frequency domains for finer scale image deblurring. Extensive experiments on the GoPro and HIDE datasets demonstrate that the proposed network outperforms the state-of-the-art methods both quantitatively and visually.",10.1109/LSP.2022.3194807,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9844262,Fast Fourier transform;image deblurring;multi-scale network;spatial and frequency conversion,21,,42
MaIR: A Locality-and Continuity-Preserving Mamba for Image Restoration,B. Li; H. Zhao; W. Wang; P. Hu; Y. Gou; X. Peng,"College of Computer Science, Sichuan University, China; College of Computer Science, Sichuan University, China; College of Computer Science, Sichuan University, China; College of Computer Science, Sichuan University, China; College of Computer Science, Sichuan University, China; College of Computer Science, Sichuan University, China",2025,"Recent advancements in Mamba have shown promising results in image restoration. These methods typically flatten 2D images into multiple distinct 1D sequences along rows and columns, process each sequence independently using selective scan operation, and recombine them to form the outputs. However, such a paradigm overlooks two vital aspects: i) the local relationships and spatial continuity inherent in natural images, and ii) the discrepancies among sequences unfolded through totally different ways. To overcome the drawbacks, we explore two problems in Mamba-based restoration methods: i) how to design a scanning strategy preserving both locality and continuity while facilitating restoration, and ii) how to aggregate the distinct sequences unfolded in totally different ways. To address these problems, we propose a novel Mamba-based Image Restoration model (MaIR), which consists of Nested S-shaped Scanning strategy (NSS) and Sequence Shuffle Attention block (SSA). Specifically, NSS preserves locality and continuity of the input images through the stripe-based scanning region and the S-shaped scanning path, respectively. SSA aggregates sequences through calculating attention weights within the corresponding channels of different sequences. Thanks to NSS and SSA, MaIR surpasses 40 baselines across 14 challenging datasets, achieving state-of-the-art performance on the tasks of image super-resolution, denoising, deblurring and dehazing. The code is available at https://github.com/XLearning-SCU/2025-CVPR-MaIR.",10.1109/CVPR52734.2025.00702,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11094318,image restoration;mamba;state space model;super-resolution;image denoising;image deblurring;image dehazing,21,,70
Multi-Image Deblurring Using Complementary Sets of Fluttering Patterns,H. -G. Jeon; J. -Y. Lee; Y. Han; S. J. Kim; I. S. Kweon,"School of Electrical Engineering, KAIST, Daejeon, South Korea; Adobe Research, San Jose, CA, USA; Agency for Defense Development, Daejeon, South Korea; Department of Computer Science, Yonsei University, Seoul, South Korea; School of Electrical Engineering, KAIST, Daejeon, South Korea",2017,"We present a novel coded exposure video technique for multi-image motion deblurring. The key idea of this paper is to capture video frames with a set of complementary fluttering patterns, which enables us to preserve all spectrum bands of a latent image and recover a sharp latent image. To achieve this, we introduce an algorithm for generating a complementary set of binary sequences based on the modern communication theory and implement the coded exposure video system with an off-the-shelf machine vision camera. To demonstrate the effectiveness of our method, we provide in-depth analyses of the theoretical bounds and the spectral gains of our method and other state-of-the-art computational imaging approaches. We further show deblurring results on various challenging examples with quantitative and qualitative comparisons to other computational image capturing methods used for image deblurring, and show how our method can be applied for protecting privacy in videos.",10.1109/TIP.2017.2675202,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7864319,Image deblurring;computational photography;coded exposure;video privacy protection,21,,70
Image Deblurring by Exploring In-Depth Properties of Transformer,P. Liang; J. Jiang; X. Liu; J. Ma,"School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China; Electronic Information School, Wuhan University, Wuhan, China",2025,"Image deblurring continues to achieve impressive performance with the development of generative models. Nonetheless, there still remains a displeasing problem if one wants to improve perceptual quality and quantitative scores of recovered image at the same time. In this study, drawing inspiration from the research of transformer properties, we introduce the pretrained transformers to address this problem. In particular, we leverage deep features extracted from a pretrained vision transformer (ViT) to encourage recovered images to be sharp without sacrificing the performance measured by the quantitative metrics. The pretrained transformer can capture the global topological relations (i.e., self-similarity) of image, and we observe that the captured topological relationships about the sharp image will change when blur occurs. By comparing the transformer features between recovered image and target one, the pretrained transformer provides high-resolution blur-sensitive semantic information, which is critical in measuring the sharpness of the deblurred image. On the basis of the advantages, we present two types of novel perceptual losses to guide image deblurring. One regards the features as vectors and computes the discrepancy between representations extracted from recovered image and target one in Euclidean space. The other type considers the features extracted from an image as a distribution and compares the distribution discrepancy between recovered image and target one. We demonstrate the effectiveness of transformer properties in improving the perceptual quality while not sacrificing the quantitative scores peak signal-to-noise ratio (PSNR) over the most competitive models, such as Uformer, Restormer, and NAFNet, on defocus deblurring and motion deblurring tasks. The code is available at https://github. com/erfect2020/TransformerPerceptualLoss.",10.1109/TNNLS.2024.3359810,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10443067,Image deblurring;off-the-shelf representations;perceptual loss;vision transformer (ViT),21,,66
Hybrid Deblur Net: Deep Non-Uniform Deblurring With Event Camera,L. Zhang; H. Zhang; J. Chen; L. Wang,"College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China; College of Computer, National University of Defense Technology, Changsha, China",2020,"Despite CNN-based deblur models have shown their superiority when solving motion blurs, restoring a photorealistic image from severe motion blur remains an ill-posed problem due to the loss of temporal information and textures. Event cameras such as Dynamic and Active-pixel Vision Sensor (DAVIS) can simultaneously produce gray-scale Active Pixel Sensor (APS) frames and events, which can capture fast motions as events of very high temporal resolution, i. e.,  $1~\mu s$ , can provide extra information for blurry APS frames. Due to the natural noise and sparsity of events, we employ a recurrent encoder-decoder architecture to generate dense recurrent event representations, which encode the overall historical information. We concatenate the original blurry image with the event representation as our hybrid input, from which the network learns to restore the sharp output. We conduct extensive experiments on GoPro dataset and a real event blurry dataset captured by DAVIS240C. Our experimental results on both synthetic and real images demonstrate state-of-the-art performance for  $1280\times 720 $  images at 30 fps.",10.1109/ACCESS.2020.3015759,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9165110,Event-based vision;high speed;image deblurring;real-time,21,,30
Locally Adaptive Channel Attention-Based Spatial–Spectral Neural Network for Image Deblurring,H. S. Lee; S. I. Cho,"Department of Electronic Engineering, Kumoh National Institute of Technology, Gumi, South Korea; Division of AI Software Convergence, Dongguk University, Seoul, South Korea",2023,"Recently, due to the rapid development of deep neural networks in the field of computer vision, many studies have been conducted in the field of image deblurring. However, previous methods cannot attain satisfactory deblurring performance in object boundaries and local regions containing image details in restored results. This paper proposes a new method that uses a locally adaptive channel attention module for a spectral–spatial network to resolve the problem of single-image deblurring. Unlike existing methods, our proposed method consists of a spectral restorer and spatial restorer that adopt a locally adaptive attention mechanism in the spectral–spatial domains. In addition, unlike a conventional spectral–spatial network that only considers the magnitude of the frequency coefficients, the proposed method uses both the magnitude and phase of the frequency coefficients in the training stage. Our locally adaptive channel attention spectral–spatial network can focus on informative channels that are closely related to blur artifacts. Specifically, the spatial restorer, which guides the intensity of the blur image to fit the ground truth by exploring the interdependencies of feature channels, can efficiently restore scene characteristics while the spectral restorer, which guides the magnitude and phase of the blur image’s frequency coefficients to fit those of the ground truth by exploring the interdependencies of feature channels, fine-tunes the details of structures. The experimental results show that the proposed method outperformed the deblurring results compared to benchmark methods in terms of both qualitative evaluation and quantitative metrics.",10.1109/TCSVT.2023.3250509,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10061365,Image deblurring;channel attention;spatial restorer;spectral restorer,21,,72
Collaborative Deep Learning for Super-Resolving Blurry Text Images,Y. Quan; J. Yang; Y. Chen; Y. Xu; H. Ji,"School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; School of Computer Science and Engineering, South China University of Technology, Guangzhou, China; Department of Mathematics, National University of Singapore, Singapore, Singapore",2020,"Text image, the one with its content dominated by text, is a common type of images seen in many applications. In practice, text images are often degraded by many factors mixed together. This article aims at recovering degraded text images that suffer from the mixture of multiple degradations, including low resolution, uniform blurring and noise. It is observed that such mixed degradations treat the low-frequency components and high-frequency components of an image in different manners, and the emphasis of recovery is on predicting high-frequency information. Motivated by such an observation, we proposed a neural network that collaboratively works on the prediction of high-frequency information and the recovery of text image with both low and high frequencies. The experiments are conducted on one existing benchmark dataset of document images and one new dataset covering a wide range of text images. The results show that the proposed method noticeably outperformed the existing ones.",10.1109/TCI.2020.2981758,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9040515,Text image processing;image restoration;colla-borative learning;deep learning,21,,50
